C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,11:00:00,REGULAR,0001413775,0002168014                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,15:00:00,REGULAR,0001413999,0002168364                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,19:00:00,REGULAR,0001414556,0002168828                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,23:00:00,REGULAR,0001414816,0002169023                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0006488747,0008671178                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0006488760,0008671205                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0006488829,0008671401                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0006489004,0008671597                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0006489305,0008671800                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0006489468,0008671890                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0006489512,0008671925                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0006489519,0008671954                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0006489586,0008672090                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0006489733,0008672294                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0006489944,0008672496                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0006490081,0008672562                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0006490110,0008672598                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0006490124,0008672711                                            
